Time,Low,High,Open,Close,Volume,MinValue,MaxValue
1511919000,8397.0,8397.49,8397.0,8397.47,1.92784527,2.0,2.0
1511919060,8397.47,8397.47,8397.47,8397.47,0.55,4.0,0.0
1511919120,8399.99,8405.0,8399.99,8405.0,2.0830192,2.0,2.0
1511919180,8404.99,8405.0,8405.0,8405.0,1.1623780000000001,4.0,0.0
1511919240,8404.99,8440.78,8404.99,8440.75,4.225535710000001,0.0,22.0
1511919300,8436.37,8439.47,8436.37,8436.37,0.6646387800000002,0.0,2.0
1511919360,8397.46,8409.33,8397.46,8401.19,3.87934785,10.0,0.0
1511919420,8401.06,8409.32,8409.32,8408.0,0.85982438,0.0,2.0
1511919480,8405.0,8408.0,8405.31,8405.03,0.58148658,4.0,0.0
1511919540,8405.01,8419.21,8405.01,8419.21,0.2719827,0.0,8.0
1511919600,8408.39,8408.4,8408.39,8408.4,0.42069011,4.0,0.0
1511919660,8408.4,8417.19,8408.4,8408.56,0.2286910600000001,2.0,0.0
1511919720,8408.55,8417.08,8408.55,8417.08,0.32191681000000005,0.0,2.0
1511919780,8408.48,8417.07,8417.07,8408.48,0.19,6.0,0.0
1511919840,8408.48,8419.0,8408.48,8419.0,0.12,2.0,2.0
1511919900,8418.99,8419.0,8419.0,8419.0,0.135,4.0,0.0
1511919960,8419.0,8442.99,8419.0,8442.99,1.37856123,2.0,0.0
1511920020,8442.99,8443.99,8443.0,8443.99,0.50495113,2.0,2.0
1511920080,8442.85,8444.0,8443.99,8443.99,1.15922854,4.0,0.0
1511920140,8443.99,8458.08,8443.99,8458.04,1.82072473,2.0,0.0
1511920200,8458.52,8460.49,8458.61,8460.49,0.38130865,2.0,0.0
1511920260,8460.49,8460.5,8460.5,8460.5,1.11159396,2.0,128.0
1511920320,8460.49,8460.5,8460.5,8460.5,0.32,2.0,126.0
1511920380,8460.49,8460.5,8460.5,8460.5,0.09897553,0.0,124.0
1511920440,8460.0,8460.5,8460.49,8460.0,0.37945072,10.0,2.0
1511920500,8460.0,8460.01,8460.0,8460.0,0.6651004,12.0,2.0
1511920560,8460.0,8460.01,8460.01,8460.0,0.06001804,14.0,0.0
1511920620,8460.0,8460.01,8460.01,8460.01,0.6154194100000001,2.0,8.0
1511920680,8460.0,8460.01,8460.01,8460.01,0.08683182,2.0,10.0
1511920740,8460.0,8460.01,8460.01,8460.01,0.06001330000000001,0.0,12.0
1511920800,8460.0,8460.0,8460.0,8460.0,4.73e-06,22.0,0.0
1511920860,8460.01,8460.01,8460.01,8460.01,0.21111845,2.0,16.0
1511920920,8460.0,8460.01,8460.0,8460.01,0.78293926,4.0,18.0
1511920980,8460.0,8460.01,8460.01,8460.01,0.12632506000000002,4.0,20.0
1511921040,8460.0,8460.01,8460.01,8460.01,0.31816442,2.0,22.0
1511921100,8460.0,8460.01,8460.0,8460.01,0.35999924000000005,0.0,24.0
1511921160,8460.0,8460.01,8460.01,8460.0,0.38082986,34.0,0.0
1511921220,8460.0,8460.01,8460.0,8460.01,0.05818241000000001,2.0,28.0
1511921280,8460.0,8460.01,8460.0,8460.01,0.38302285,2.0,30.0
1511921340,8460.0,8460.01,8460.0,8460.01,0.51000178,0.0,32.0
1511921400,8460.0,8460.01,8460.0,8460.0,0.6010222,42.0,0.0
1511921460,8460.0,8460.01,8460.0,8460.01,0.16000031999999995,0.0,36.0
1511921520,8460.0,8460.01,8460.01,8460.0,0.91904579,46.0,0.0
1511921580,8460.0,8460.01,8460.0,8460.01,0.12000029,2.0,40.0
1511921640,8460.0,8460.01,8460.01,8460.01,0.51651698,0.0,42.0
1511921700,8460.0,8460.01,8460.0,8460.0,1.97299987,46.0,2.0
1511921760,8460.0,8460.01,8460.0,8460.0,0.15695426,44.0,4.0
1511921820,8460.0,8460.01,8460.0,8460.0,0.8220050799999999,42.0,2.0
1511921880,8460.0,8460.01,8460.0,8460.0,0.15489076,40.0,0.0
1511921940,8460.0,8460.01,8460.0,8460.01,0.3016445300000001,2.0,52.0
1511922000,8460.01,8460.01,8460.01,8460.01,0.10703407,2.0,54.0
1511922060,8460.01,8460.01,8460.01,8460.01,0.02,0.0,56.0
1511922120,8460.0,8460.01,8460.01,8460.0,0.0944609,32.0,0.0
1511922180,8460.01,8460.01,8460.01,8460.01,0.05,0.0,60.0
1511922240,8460.0,8460.01,8460.01,8460.0,0.19749008000000004,28.0,0.0
1511922300,8460.0,8460.01,8460.0,8460.01,0.169875,2.0,58.0
1511922360,8460.0,8460.01,8460.0,8460.01,0.01838853,4.0,56.0
1511922420,8460.01,8460.01,8460.01,8460.01,0.02,6.0,54.0
1511922480,8460.0,8460.01,8460.01,8460.01,0.1,8.0,52.0
1511922540,8460.01,8460.01,8460.01,8460.01,0.09,6.0,50.0
1511922600,8460.01,8460.01,8460.01,8460.01,0.04,4.0,48.0
1511922660,8460.0,8460.01,8460.01,8460.01,2.37317465,2.0,46.0
1511922720,8460.0,8460.01,8460.01,8460.01,1.90375983,0.0,44.0
1511922780,8460.0,8460.0,8460.0,8460.0,0.6408643900000001,10.0,0.0
1511922840,8460.01,8460.01,8460.01,8460.01,0.08,2.0,40.0
1511922900,8460.0,8460.01,8460.0,8460.01,0.19278542,4.0,38.0
1511922960,8460.0,8460.01,8460.0,8460.01,0.06,4.0,36.0
1511923020,8460.01,8460.01,8460.01,8460.01,0.10537251,2.0,34.0
1511923080,8460.01,8460.01,8460.01,8460.01,0.10664752,0.0,32.0
1511923140,8459.99,8460.01,8460.01,8459.99,4.43351544,12.0,0.0
1511923200,8460.0,8460.0,8460.0,8460.0,0.1,0.0,4.0
1511923260,8459.99,8460.0,8459.99,8459.99,0.19817035,8.0,0.0
1511923320,8459.99,8460.0,8459.99,8460.0,1.16545159,0.0,8.0
1511923380,8459.99,8460.0,8460.0,8459.99,0.85935729,4.0,2.0
1511923440,8459.99,8460.0,8459.99,8459.99,0.5396586800000001,2.0,4.0
1511923500,8459.99,8460.0,8460.0,8459.99,2.41801566,0.0,6.0
1511923560,8449.2,8455.0,8455.0,8449.2,0.40541174,116.0,0.0
1511923620,8449.2,8459.99,8449.2,8459.99,0.1022494,0.0,10.0
1511923680,8458.16,8459.98,8459.98,8458.16,0.12696145,0.0,2.0
1511923740,8455.02,8460.0,8458.24,8457.32,0.37188448,0.0,2.0
1511923800,8455.27,8455.28,8455.28,8455.28,0.13374556,0.0,2.0
1511923860,8455.01,8455.24,8455.24,8455.01,0.125,10.0,0.0
1511923920,8455.0,8458.9,8455.0,8458.9,1.43499904,2.0,0.0
1511923980,8459.0,8460.0,8459.0,8460.0,0.03,0.0,2.0
1511924040,8459.99,8460.0,8459.99,8459.99,0.28975062,4.0,0.0
1511924100,8460.0,8460.02,8460.0,8460.02,1.5832828099999998,2.0,0.0
1511924160,8460.09,8474.13,8460.09,8474.13,0.5360964500000001,2.0,2.0
1511924220,8474.13,8474.14,8474.13,8474.13,0.7019266400000002,4.0,0.0
1511924280,8474.13,8474.14,8474.13,8474.14,0.62479127,2.0,0.0
1511924340,8474.14,8477.09,8474.14,8477.09,0.21320994,2.0,0.0
1511924400,8477.09,8478.0,8477.09,8478.0,0.24847569,2.0,0.0
1511924460,8477.99,8484.0,8477.99,8484.0,1.64359124,2.0,0.0
1511924520,8485.8,8488.12,8485.8,8488.12,1.2572521700000003,2.0,0.0
1511924580,8488.97,8488.98,8488.98,8488.97,0.28162645000000003,0.0,2.0
1511924640,8479.41,8487.63,8487.58,8487.58,0.15645587,6.0,0.0
1511924700,8489.98,8490.0,8489.98,8490.0,0.83073,2.0,0.0
1511924760,8490.0,8499.0,8490.0,8499.0,0.8764830299999999,2.0,2.0
1511924820,8499.0,8499.0,8499.0,8499.0,0.10118132,4.0,0.0
1511924880,8498.99,8499.1,8499.0,8499.01,0.26771933,2.0,0.0
1511924940,8490.75,8499.99,8490.75,8499.99,0.7150120200000001,0.0,4.0
1511925000,8492.18,8499.99,8499.99,8492.18,0.31261485,10.0,0.0
1511925060,8499.93,8499.96,8499.96,8499.93,0.14056977,2.0,0.0
1511925120,8499.94,8500.0,8499.94,8500.0,0.99883564,2.0,16.0
1511925180,8499.99,8500.0,8500.0,8500.0,0.23492606,4.0,14.0
1511925240,8500.0,8500.0,8500.0,8500.0,0.11172212,2.0,12.0
1511925300,8500.0,8500.0,8500.0,8500.0,0.6775001900000001,0.0,10.0
1511925360,8499.99,8500.0,8499.99,8499.99,0.7502379500000002,10.0,0.0
1511925420,8499.99,8500.0,8500.0,8500.0,0.93401459,2.0,6.0
1511925480,8500.0,8500.0,8500.0,8500.0,1.38458023,4.0,4.0
1511925540,8499.99,8500.0,8500.0,8500.0,0.74466521,6.0,2.0
1511925600,8499.99,8500.0,8500.0,8500.0,0.8478524399999999,8.0,0.0
1511925660,8500.0,8502.0,8500.0,8502.0,0.9530650699999998,2.0,0.0
1511925720,8502.0,8526.96,8502.0,8522.05,1.5091346,2.0,0.0
1511925780,8522.09,8545.99,8527.1,8545.98,1.84768474,2.0,0.0
1511925840,8545.99,8548.27,8545.99,8548.27,1.23977673,2.0,0.0
1511925900,8548.27,8560.0,8548.27,8560.0,1.83092538,2.0,0.0
1511925960,8559.99,8564.07,8560.0,8564.07,0.6862481300000001,2.0,0.0
1511926020,8564.06,8572.62,8564.07,8572.6,1.22345699,2.0,0.0
1511926080,8572.53,8579.99,8572.56,8573.32,1.22249456,2.0,0.0
1511926140,8573.58,8596.0,8573.58,8596.0,2.1844127,2.0,0.0
1511926200,8595.61,8600.0,8599.15,8600.0,2.73044034,2.0,4.0
1511926260,8599.53,8600.0,8600.0,8600.0,1.14817315,0.0,2.0
1511926320,8599.91,8600.0,8599.99,8599.99,0.8209999,6.0,0.0
1511926380,8599.99,8600.99,8600.0,8600.99,0.88839649,2.0,0.0
1511926440,8601.0,8613.81,8601.0,8613.81,3.34491216,2.0,0.0
1511926500,8613.81,8620.0,8613.81,8620.0,0.42955027,2.0,0.0
1511926560,8620.0,8682.69,8620.0,8682.67,2.3935181399999994,2.0,0.0
1511926620,8687.09,8699.0,8689.99,8692.01,1.9064273700000005,2.0,0.0
1511926680,8692.17,8698.99,8698.97,8698.98,1.6444911400000002,2.0,0.0
1511926740,8698.98,8699.0,8698.98,8698.99,4.63926779,0.0,4.0
1511926800,8617.03,8650.0,8620.0,8647.38,1.38136153,10.0,0.0
1511926860,8647.37,8681.73,8647.38,8681.73,1.08492841,2.0,0.0
1511926920,8685.7,8700.0,8685.7,8700.0,0.97942872,2.0,98.0
1511926980,8700.0,8700.0,8700.0,8700.0,2.06592641,0.0,96.0
1511927040,8699.99,8700.0,8700.0,8699.99,2.38014382,0.0,2.0
1511927100,8690.02,8700.0,8699.99,8690.02,1.4518,0.0,2.0
1511927160,8690.0,8690.02,8690.02,8690.0,2.57289987,0.0,2.0
1511927220,8583.85,8680.76,8680.76,8600.0,1.80795458,30.0,0.0
1511927280,8600.01,8668.34,8600.01,8668.33,1.32344502,0.0,4.0
1511927340,8663.3,8668.33,8668.33,8663.3,1.01002046,2.0,0.0
1511927400,8658.01,8667.19,8663.29,8667.19,1.22445201,0.0,4.0
1511927460,8662.74,8667.7,8667.1,8662.74,1.159676,0.0,2.0
