Time,Low,High,Open,Close,Volume
1513682160, 18151.76, 18155.23, 18151.77, 18155.23, 10.616705229999999
1513682100, 18151.76, 18155.01, 18155, 18151.76, 5.072692980000002
1513682040, 18145.99, 18183.43, 18145.99, 18155.04, 6.95019039
1513681980, 18135.95, 18146, 18135.96, 18146, 7.796131609999997
1513681920, 18122.56, 18175.87, 18122.56, 18135.96, 6.293383049999999
1513681860, 18051.01, 18122.63, 18060.68, 18119, 9.435669059999995
1513681800, 18010.24, 18099.97, 18010.24, 18060.68, 3.5417369300000017
1513681740, 18001.19, 18101.01, 18101.01, 18049.86, 16.670186629999996
1513681680, 18101, 18200, 18200, 18101, 20.28662198
1513681620, 18200.01, 18223.91, 18223.91, 18200.01, 5.203290970000001
1513681560, 18224.18, 18251.01, 18251, 18224.18, 10.13662055
1513681500, 18251, 18275, 18275, 18251.01, 7.162826989999998
1513681440, 18275, 18299.91, 18299.9, 18275, 6.733853489999999
1513681380, 18299.9, 18299.91, 18299.9, 18299.91, 5.039591619999997
1513681320, 18299.9, 18301.02, 18301.02, 18299.91, 3.777389090000002
1513681260, 18301.01, 18362.65, 18362.65, 18301.01, 4.767616030000001
1513681200, 18300, 18362.65, 18300.01, 18362.65, 7.467480969999998
1513681140, 18300, 18300.01, 18300, 18300, 11.914080539999999
1513681080, 18300, 18300.01, 18300, 18300.01, 3.2950510100000003
1513681020, 18300, 18300.01, 18300.01, 18300, 3.39566531
1513680960, 18300, 18300.01, 18300, 18300.01, 6.67336642
1513680900, 18300, 18300.01, 18300, 18300.01, 4.528995959999999
1513680840, 18300, 18300.01, 18300, 18300.01, 3.397185950000001
1513680780, 18300, 18300.01, 18300, 18300.01, 3.2501110800000013
1513680720, 18300, 18303.01, 18303, 18300, 22.26317625
1513680660, 18303, 18364.84, 18364.84, 18303, 4.07839035
1513680600, 18364.84, 18364.85, 18364.85, 18364.84, 5.935017429999999
1513680540, 18355.15, 18364.85, 18355.16, 18364.84, 6.964008509999998
